"","VENTAS_CAT","COD_PERSONA","NUM_CONTRATO","PRODUCTO","IND_MOR","EXPOSURE","EAD_STD","EAD_DT","LGD_STD","LGD_DT","PD_TTC","M"
"510","(100, 250]",29589134,6.50039000000002e+21,"Consumer Loan",20,365037.32,365037.32,365037.32,0.3,0.4,0.064,4
"512","<= 100",29613400,6.50028000000002e+21,"Consumer Loan",40,90000,90000,90000,0.35,0.45,0.032,4
"513","<= 100",29618436,6.51314000000002e+21,"Consumer Loan",30,1631167.36,1631167.36,1631167.36,0.35,0.45,0.032,4
"514","<= 100",29618584,6.50148000000006e+21,"Mortgage",30,1075445.09,1075445.09,1075445.09,0.35,0.45,0.032,4
"515","<= 100",29671388,6.50157000000006e+21,"Mortgage",30,427204.08,427204.08,427204.08,0.35,0.45,0.032,4
"516","<= 100",29714915,6.50245e+21,"Consumer Loan",30,157251.92,157251.92,157251.92,0.35,0.45,0.032,4
"517","<= 100",29744059,6.51200000000006e+21,"Mortgage",23,1027270.94,1027270.94,1027270.94,0.35,0.45,0.032,4
"518","<= 100",29749603,6.50028000000281e+21,"Lease",30,22853.63,22853.63,22853.63,0.35,0.45,0.032,4
"519","<= 100",29749603,6.50028000000281e+21,"Lease",30,199997.86,199997.86,199997.86,0.35,0.45,0.032,4
"520","<= 100",29749603,6.50028000000281e+21,"Lease",30,48575.49,48575.49,48575.49,0.35,0.45,0.032,4
"521","<= 100",29749603,6.50028000000281e+21,"Lease",30,94019.3,94019.3,94019.3,0.35,0.45,0.032,4
"522","<= 100",29749603,6.50028000000281e+21,"Lease",30,80004.31,80004.31,80004.31,0.35,0.45,0.032,4
"523","<= 100",29749603,6.50028000000281e+21,"Lease",30,30271.57,30271.57,30271.57,0.35,0.45,0.032,4
"524","<= 100",29749603,6.50028000000281e+21,"Lease",30,24079.3,24079.3,24079.3,0.35,0.45,0.032,4
"525","<= 100",29749603,6.50028000000281e+21,"Lease",30,39836.88,39836.88,39836.88,0.35,0.45,0.032,4
"526","<= 100",29749603,6.50028000000281e+21,"Lease",30,39836.88,39836.88,39836.88,0.35,0.45,0.032,4
"527","<= 100",29749603,6.50028000000281e+21,"Lease",30,13942.5,13942.5,13942.5,0.35,0.45,0.032,4
"528",">250",29778654,6.50067000000001e+21,"Consumer Loan",23,1514895.38,1516726.79,1516726.79,0.25,0.3,0.064,4
"529","<= 100",29782775,6.51268000000006e+21,"Mortgage",30,102390.56,102390.56,102390.56,0.35,0.45,0.032,4
"530","<= 100",29807018,6.50069e+21,"Consumer Loan",30,521000,521000,521000,0.35,0.45,0.032,4
"531","<= 100",29807018,6.50069e+21,"Consumer Loan",30,2460908.17,2460908.17,2460908.17,0.35,0.45,0.032,4
"532","<= 100",29807018,6.50069e+21,"Consumer Loan",20,244664.92,244664.92,244664.92,0.35,0.45,0.032,4
"533","<= 100",29807018,6.50069000000002e+21,"Consumer Loan",23,334289.75,334289.75,334289.75,0.35,0.45,0.032,4
"534","<= 100",29890365,6.50038000000006e+21,"Mortgage",30,415371.63,415371.63,415371.63,0.35,0.45,0.032,4
"535","<= 100",29961661,6.50079000000006e+21,"Mortgage",24,109389.1,109389.1,109389.1,0.35,0.45,0.032,4
"536","<= 100",29961661,6.50079000000006e+21,"Mortgage",24,192290.9,192290.9,192290.9,0.35,0.45,0.032,4
