"","VENTAS_CAT","COD_PERSONA","NUM_CONTRATO","PRODUCTO","IND_MOR","EXPOSURE","EAD_STD","EAD_DT","LGD_STD","LGD_DT","PD_TTC","M"
"1","<= 100",1820230,6.50009000000006e+21,"Mortgage",23,558509.54,558509.54,558509.54,0.35,0.45,0.032,4
"2","<= 100",2187825,6.51242000000002e+21,"Consumer Loan",30,49728.59,49728.59,49728.59,0.35,0.45,0.032,4
"3","<= 100",2896141,6.50067000000001e+21,"Consumer Loan",50,2323.33,2811.23,2323.33,0.35,0.45,0.032,4
"4","<= 100",2896141,6.50067000000001e+21,"Consumer Loan",50,44368.35,53685.7,44368.35,0.35,0.45,0.032,4
"5","<= 100",3654184,6.50032000000002e+21,"Consumer Loan",30,620646.63,620646.63,620646.63,0.35,0.45,0.032,4
"6","<= 100",3654184,6.50032000000002e+21,"Consumer Loan",30,432426.17,432426.17,432426.17,0.35,0.45,0.032,4
"7","<= 100",3654184,6.50032000000006e+21,"Mortgage",30,999868.77,999868.77,999868.77,0.35,0.45,0.032,4
"8","<= 100",4337662,6.50067000004e+21,"Consumer Loan",50,768408.78,768408.78,768408.78,0.35,0.45,0.032,4
"9","<= 100",4746211,6.51148000000002e+21,"Consumer Loan",30,84054.41,84054.41,84054.41,0.35,0.45,0.032,4
"10","<= 100",5022290,6.50315000000006e+21,"Mortgage",23,99723.31,99723.31,99723.31,0.35,0.45,0.032,4
"11","<= 100",5022290,6.50315000000006e+21,"Mortgage",23,170386.56,170386.56,170386.56,0.35,0.45,0.032,4
"12","<= 100",5227437,6.50145e+21,"Consumer Loan",23,1007106.92,1010518.55,1010518.55,0.35,0.45,0.032,4
"13","<= 100",5390850,6.50022000000006e+21,"Mortgage",20,172786.53,172786.53,172786.53,0.35,0.45,0.032,4
"15","<= 100",5544459,6.50067000000002e+21,"Consumer Loan",30,12012086.91,12012086.91,12012086.91,0.35,0.45,0.032,4
"16","<= 100",8647917,6.50062000000006e+21,"Mortgage",23,136990.56,136990.56,136990.56,0.35,0.45,0.032,4
"17","<= 100",8647917,6.50079000000006e+21,"Mortgage",23,1268151.92,1268151.92,1268151.92,0.35,0.45,0.032,4
"19","<= 100",9257519,6.50069e+21,"Consumer Loan",30,521000,521000,521000,0.35,0.45,0.032,4
"20","<= 100",9257519,6.50069e+21,"Consumer Loan",20,244664.92,244664.92,244664.92,0.35,0.45,0.032,4
"21","<= 100",9753486,6.51162000000002e+21,"Consumer Loan",23,284271.09,284271.09,284271.09,0.35,0.45,0.032,4
"22","<= 100",9775935,6.51107000000002e+21,"Consumer Loan",30,97711.76,97711.76,97711.76,0.35,0.45,0.032,4
"23","<= 100",10393900,6.59999458074082e+21,"Credit Card",20,936.57,936.57,936.57,0.35,0.45,0.032,4
"24","<= 100",10393900,6.59999458074082e+21,"Credit Card",20,1598.64,1598.64,1598.64,0.35,0.45,0.032,4
"25","<= 100",10478558,6.50302000000002e+21,"Consumer Loan",30,45088.92,45088.92,45088.92,0.35,0.45,0.032,4
"26","<= 100",10786325,6.59999458074045e+21,"Credit Card",20,37.42,37.42,37.42,0.35,0.45,0.032,4
"27","<= 100",11037423,6.50031000000002e+21,"Consumer Loan",30,138367.7,138367.7,138367.7,0.35,0.45,0.032,4
"28","<= 100",11083441,6.50051000000006e+21,"Mortgage",30,370075.73,370075.73,370075.73,0.35,0.45,0.032,4
"29","<= 100",11083441,6.50051000000006e+21,"Mortgage",30,2915209.95,2915209.95,2915209.95,0.35,0.45,0.032,4
"30","<= 100",11344172,6.50032000000002e+21,"Consumer Loan",30,69430.91,69430.91,69430.91,0.35,0.45,0.032,4
"32","<= 100",11606932,6.51630000000002e+21,"Consumer Loan",23,768801.2,768801.2,768801.2,0.35,0.45,0.032,4
"33","<= 100",11892552,6.50050000000006e+21,"Mortgage",23,172486.18,172486.18,172486.18,0.35,0.45,0.032,4
"34","<= 100",11892552,6.50050000000006e+21,"Mortgage",23,1181910.61,1181910.61,1181910.61,0.35,0.45,0.032,4
"35","<= 100",11892552,6.50050000000006e+21,"Mortgage",23,385600.78,385600.78,385600.78,0.35,0.45,0.032,4
"36","<= 100",11911646,6.50211000000002e+21,"Consumer Loan",30,80286.43,80286.43,80286.43,0.35,0.45,0.032,4
"37","<= 100",11986522,6.51382000000002e+21,"Consumer Loan",23,45280.08,45280.08,45280.08,0.35,0.45,0.032,4
"38","<= 100",12090239,6.5126e+21,"Consumer Loan",23,56728.21,56728.21,56728.21,0.35,0.45,0.032,4
"42","<= 100",12187275,6.51058000000002e+21,"Consumer Loan",24,368900.15,368900.15,368900.15,0.35,0.45,0.032,4
"43","<= 100",12187275,6.51058000000002e+21,"Consumer Loan",26,322195.99,322195.99,322195.99,0.35,0.45,0.032,4
"44","<= 100",12187275,6.51058000000002e+21,"Consumer Loan",26,2857407.92,2857407.92,2857407.92,0.35,0.45,0.032,4
"45","<= 100",12452238,6.51108000000002e+21,"Consumer Loan",23,218984.2,218984.2,218984.2,0.35,0.45,0.032,4
"46","<= 100",12521256,6.50019e+21,"Consumer Loan",23,107334.57,108733.1,108733.1,0.35,0.45,0.032,4
"47","<= 100",12521256,6.50019e+21,"Consumer Loan",23,174785.54,175068.1,175068.1,0.35,0.45,0.032,4
"48","<= 100",12586412,6.50003000000006e+21,"Mortgage",23,248507.86,248507.86,248507.86,0.35,0.45,0.032,4
"49","<= 100",12586412,6.50124000000006e+21,"Mortgage",23,171585.87,171585.87,171585.87,0.35,0.45,0.032,4
"50","<= 100",12619795,6.50065000000006e+21,"Mortgage",20,227112.35,227112.35,227112.35,0.35,0.45,0.032,4
"51","<= 100",12619795,6.50065000000006e+21,"Mortgage",20,330877.69,330877.69,330877.69,0.35,0.45,0.032,4
"52","<= 100",12637988,6.50146000000002e+21,"Consumer Loan",20,122441.86,122441.86,122441.86,0.35,0.45,0.032,4
"53","<= 100",12649120,6.50020000000201e+21,"Lease",20,597594.13,597594.13,597594.13,0.35,0.45,0.032,4
"54","<= 100",12726257,6.51058000000002e+21,"Consumer Loan",24,221439.27,221439.27,221439.27,0.35,0.45,0.032,4
"55","<= 100",12743054,6.50140000000006e+21,"Mortgage",23,284592.73,284592.73,284592.73,0.35,0.45,0.032,4
"56","<= 100",12865575,6.50211000000002e+21,"Consumer Loan",30,895.18,895.18,895.18,0.35,0.45,0.032,4
"57","<= 100",13046608,6.51279e+21,"Consumer Loan",30,48596.42,48596.42,48596.42,0.35,0.45,0.032,4
"58","<= 100",13087606,6.51248000000002e+21,"Consumer Loan",30,84612.6,84612.6,84612.6,0.35,0.45,0.032,4
"59","<= 100",13087606,6.51248000000002e+21,"Consumer Loan",30,367080.29,367080.29,367080.29,0.35,0.45,0.032,4
"60","<= 100",13094726,6.50046000000002e+21,"Consumer Loan",23,54671.97,54671.97,54671.97,0.35,0.45,0.032,4
"61","<= 100",13094726,6.59999458074055e+21,"Credit Card",23,2949.83,3000,3000,0.35,0.45,0.032,4
"62","<= 100",13094726,6.59999458074108e+21,"Credit Card",23,2962.2,3000,3000,0.35,0.45,0.032,4
"63","<= 100",13095488,6.50184000000002e+21,"Consumer Loan",23,2306423.12,2306423.12,2306423.12,0.35,0.45,0.032,4
"64",">250",13101889,6.50067000000001e+21,"Consumer Loan",23,1514895.38,1516726.79,1516726.79,0.25,0.3,0.064,4
"65","<= 100",13411608,6.50034000000002e+21,"Consumer Loan",23,631563.76,631563.76,631563.76,0.35,0.45,0.032,4
"66","<= 100",13411608,6.50034000000341e+21,"Lease",23,45521.99,45521.99,45521.99,0.35,0.45,0.032,4
"67","<= 100",13411608,6.50034000000341e+21,"Lease",23,45521.99,45521.99,45521.99,0.35,0.45,0.032,4
"68","<= 100",13411608,6.50034000000341e+21,"Lease",23,877201.55,877201.55,877201.55,0.35,0.45,0.032,4
"69","<= 100",13535447,6.50257000000006e+21,"Mortgage",30,47017.28,47017.28,47017.28,0.35,0.45,0.032,4
"70","<= 100",13644122,6.50105000000002e+21,"Consumer Loan",23,378756.97,378756.97,378756.97,0.35,0.45,0.032,4
"71","<= 100",13715178,6.51094e+21,"Consumer Loan",23,250499.18,250557.52,250557.52,0.35,0.45,0.032,4
"72","<= 100",13715178,6.51094000000002e+21,"Consumer Loan",23,212737.02,212737.02,212737.02,0.35,0.45,0.032,4
"73","<= 100",13779931,6.50205e+21,"Consumer Loan",20,1456301.7,1456301.7,1456301.7,0.35,0.45,0.032,4
"74","<= 100",13779931,6.50205000000002e+21,"Consumer Loan",20,35705.38,35705.38,35705.38,0.35,0.45,0.032,4
"75","<= 100",13938789,6.5119e+21,"Consumer Loan",20,419228.14,419228.14,419228.14,0.35,0.45,0.032,4
"76","(100, 250]",13985051,6.59999458074163e+21,"Credit Card",23,225.83,6000,6000,0.3,0.4,0.064,4
"77",">250",14001284,6.50142000000006e+21,"Mortgage",23,69259.8,69259.8,69259.8,0.25,0.3,0.064,4
"78","<= 100",14101637,6.50293e+21,"Consumer Loan",30,150876.03,150876.03,150876.03,0.35,0.45,0.032,4
"79","<= 100",14221209,6.50156000000002e+21,"Consumer Loan",24,50000,50000,50000,0.35,0.45,0.032,4
"80","<= 100",14221209,6.50156000000006e+21,"Mortgage",23,392682.73,392682.73,392682.73,0.35,0.45,0.032,4
"81","<= 100",14406128,6.51394000000006e+21,"Mortgage",30,459550.19,459550.19,459550.19,0.35,0.45,0.032,4
"82","<= 100",15069559,6.50134e+21,"Consumer Loan",30,12119733.23,12119733.23,12119733.23,0.35,0.45,0.032,4
"83","<= 100",15069559,6.50134000000006e+21,"Mortgage",23,2926237,2926237,2926237,0.35,0.45,0.032,4
"84","<= 100",15102475,6.50025000000006e+21,"Mortgage",23,95776.02,95776.02,95776.02,0.35,0.45,0.032,4
"85","<= 100",15102475,6.50025000000006e+21,"Mortgage",23,25199.29,25199.29,25199.29,0.35,0.45,0.032,4
"86","<= 100",15384136,6.50132e+21,"Consumer Loan",30,241292.17,241292.17,241292.17,0.35,0.45,0.032,4
"87","<= 100",15384136,6.50132e+21,"Consumer Loan",30,452480.77,452480.77,452480.77,0.35,0.45,0.032,4
"88","<= 100",15384136,6.50132000001321e+21,"Lease",30,4611,4611,4611,0.35,0.45,0.032,4
"89","<= 100",15520110,6.50114000000006e+21,"Consumer Loan",30,3391.17,3391.17,3391.17,0.35,0.45,0.032,4
"90","<= 100",15693481,6.50157000000002e+21,"Consumer Loan",30,259284.3,259284.3,259284.3,0.35,0.45,0.032,4
"91","<= 100",15733548,6.50145e+21,"Consumer Loan",30,1730128.12,1730128.12,1730128.12,0.35,0.45,0.032,4
"92","<= 100",15733548,6.50145000000006e+21,"Mortgage",30,546688.53,546688.53,546688.53,0.35,0.45,0.032,4
"93","<= 100",15733548,6.50145000000006e+21,"Mortgage",30,228719.03,228719.03,228719.03,0.35,0.45,0.032,4
"94","<= 100",15739694,6.50310000000006e+21,"Mortgage",23,1856104.85,1856104.85,1856104.85,0.35,0.45,0.032,4
"95","<= 100",15803627,6.50198e+21,"Consumer Loan",23,74924.08,75253.6,75253.6,0.35,0.45,0.032,4
"96","<= 100",15828891,6.50145e+21,"Consumer Loan",30,408451.64,408451.64,408451.64,0.35,0.45,0.032,4
"98","<= 100",15828891,6.50145000001451e+21,"Lease",20,5538.65,5538.65,5538.65,0.35,0.45,0.032,4
"99","<= 100",15918432,6.51011000000006e+21,"Mortgage",30,1090514.91,1090514.91,1090514.91,0.35,0.45,0.032,4
"100","<= 100",15922888,6.50313000000006e+21,"Mortgage",23,39457.77,39457.77,39457.77,0.35,0.45,0.032,4
"101","<= 100",15922888,6.50313000000006e+21,"Mortgage",23,46479.8,46479.8,46479.8,0.35,0.45,0.032,4
"102","<= 100",15922888,6.50313000000006e+21,"Mortgage",23,66546.33,66546.33,66546.33,0.35,0.45,0.032,4
"103","<= 100",15924149,6.51011000000006e+21,"Mortgage",30,1421756.87,1421756.87,1421756.87,0.35,0.45,0.032,4
"104","<= 100",15924149,6.51011000000006e+21,"Mortgage",30,1090514.91,1090514.91,1090514.91,0.35,0.45,0.032,4
"105","<= 100",15928322,6.50312000000002e+21,"Consumer Loan",20,133658.56,133658.56,133658.56,0.35,0.45,0.032,4
"106","<= 100",15934829,6.51092e+21,"Consumer Loan",23,347212.23,347871.74,347871.74,0.35,0.45,0.032,4
"107","<= 100",15999335,6.50145000000002e+21,"Consumer Loan",20,4089867.27,4089867.27,4089867.27,0.35,0.45,0.032,4
"108","<= 100",15999335,6.50145000000006e+21,"Mortgage",20,2340692.81,2340692.81,2340692.81,0.35,0.45,0.032,4
"109","<= 100",16007506,6.50310000000006e+21,"Mortgage",23,215480.84,215480.84,215480.84,0.35,0.45,0.032,4
"110","<= 100",16046005,6.50065000000002e+21,"Consumer Loan",30,16868.45,16868.45,16868.45,0.35,0.45,0.032,4
"111","<= 100",16067673,6.5001e+21,"Consumer Loan",30,2119541.46,2119541.46,2119541.46,0.35,0.45,0.032,4
"112","<= 100",16084195,6.50085000000006e+21,"Mortgage",20,293112.42,293112.42,293112.42,0.35,0.45,0.032,4
"113","<= 100",16084195,6.50210000000006e+21,"Mortgage",20,870643.75,870643.75,870643.75,0.35,0.45,0.032,4
"114","<= 100",16109740,6.59999458074084e+21,"Credit Card",40,121,121,121,0.35,0.45,0.032,4
"115","<= 100",16176545,6.50067000000002e+21,"Consumer Loan",23,546153,546153,546153,0.35,0.45,0.032,4
"116","<= 100",16176545,6.50067000000002e+21,"Consumer Loan",23,3037153.33,3037153.33,3037153.33,0.35,0.45,0.032,4
"117","<= 100",16196562,6.50030000000006e+21,"Mortgage",30,1590347.89,1590347.89,1590347.89,0.35,0.45,0.032,4
"118","<= 100",16210816,6.51037e+21,"Consumer Loan",23,803590.19,803590.19,803590.19,0.35,0.45,0.032,4
"119","<= 100",16222865,6.50067000000002e+21,"Consumer Loan",30,499585.44,499585.44,499585.44,0.35,0.45,0.032,4
"120","<= 100",16222954,6.50021000000006e+21,"Mortgage",30,833858.2,833858.2,833858.2,0.35,0.45,0.032,4
"121","<= 100",16222954,6.50021000000006e+21,"Mortgage",30,3026715.15,3026715.15,3026715.15,0.35,0.45,0.032,4
"122","<= 100",16249333,6.50145000000006e+21,"Mortgage",30,1635144.81,1635144.81,1635144.81,0.35,0.45,0.032,4
"123","<= 100",16252160,6.50205000000002e+21,"Consumer Loan",23,752352.29,752352.29,752352.29,0.35,0.45,0.032,4
"124","<= 100",17010179,6.51160000000002e+21,"Consumer Loan",30,12552.32,12552.32,12552.32,0.35,0.45,0.032,4
"125","<= 100",17010861,6.50057000000002e+21,"Consumer Loan",30,179601.52,179601.52,179601.52,0.35,0.45,0.032,4
"126","<= 100",17015502,6.50064e+21,"Consumer Loan",30,1785389.41,1785389.41,1785389.41,0.35,0.45,0.032,4
"127","<= 100",17029503,6.51575000000002e+21,"Consumer Loan",23,17660.87,17660.87,17660.87,0.35,0.45,0.032,4
"128","<= 100",17029503,6.51575000000006e+21,"Mortgage",23,883553.41,883553.41,883553.41,0.35,0.45,0.032,4
"129","<= 100",17061199,6.51195000000006e+21,"Mortgage",30,1593185.63,1593185.63,1593185.63,0.35,0.45,0.032,4
"130","<= 100",17061199,6.51195000011951e+21,"Lease",30,38399.61,38399.61,38399.61,0.35,0.45,0.032,4
"131","<= 100",17075874,6.51023000010231e+21,"Lease",20,3670.14,3670.14,3670.14,0.35,0.45,0.032,4
"132","<= 100",17093945,6.50184000000002e+21,"Consumer Loan",30,5949.98,5949.98,5949.98,0.35,0.45,0.032,4
"133","<= 100",17108683,6.51535000000002e+21,"Consumer Loan",20,89599.65,89599.65,89599.65,0.35,0.45,0.032,4
"135","<= 100",17131162,6.50169000000006e+21,"Mortgage",23,17509237.612,19960530.88,17509237.612,0.35,0.45,0.032,4
"136","<= 100",17158605,6.51551000000002e+21,"Consumer Loan",20,6184.97,6184.97,6184.97,0.35,0.45,0.032,4
"137","<= 100",17165210,6.50030000000006e+21,"Mortgage",30,1590347.89,1590347.89,1590347.89,0.35,0.45,0.032,4
"138","<= 100",17173671,6.50148000000006e+21,"Mortgage",30,677317.94,677317.94,677317.94,0.35,0.45,0.032,4
"139","<= 100",17177847,6.51083000010831e+21,"Lease",23,4105.25,4105.25,4105.25,0.35,0.45,0.032,4
"140","<= 100",17177847,6.51083000010831e+21,"Lease",23,13138.02,13138.02,13138.02,0.35,0.45,0.032,4
"141","<= 100",17186129,6.51098e+21,"Consumer Loan",20,206.69,206.69,206.69,0.35,0.45,0.032,4
"142","<= 100",17186129,6.51098000000002e+21,"Consumer Loan",23,267348.85,267348.85,267348.85,0.35,0.45,0.032,4
"143","<= 100",17186307,6.51351000013511e+21,"Lease",30,38830.9,38830.9,38830.9,0.35,0.45,0.032,4
"144","<= 100",17196086,6.51054000000002e+21,"Consumer Loan",23,63943.86,63943.86,63943.86,0.35,0.45,0.032,4
"145","<= 100",17196086,6.51054000000006e+21,"Mortgage",23,1190641.59,1190641.59,1190641.59,0.35,0.45,0.032,4
"146","<= 100",17219855,6.51113000011131e+21,"Lease",20,12288.68,12288.68,12288.68,0.35,0.45,0.032,4
"147","<= 100",17219855,6.51113000011131e+21,"Lease",20,12749.77,12749.77,12749.77,0.35,0.45,0.032,4
"148","<= 100",17219855,6.51113000011131e+21,"Lease",20,25754.92,25754.92,25754.92,0.35,0.45,0.032,4
"149","<= 100",17227477,6.51319000013191e+21,"Lease",20,244.17,244.17,244.17,0.35,0.45,0.032,4
"150","<= 100",17229006,6.51075000000002e+21,"Consumer Loan",30,61734.17,61734.17,61734.17,0.35,0.45,0.032,4
"151","<= 100",17229006,6.51075000000002e+21,"Consumer Loan",30,544674.62,544674.62,544674.62,0.35,0.45,0.032,4
"152","<= 100",17229006,6.51075000010751e+21,"Lease",30,61250.37,61250.37,61250.37,0.35,0.45,0.032,4
"153","<= 100",17236363,6.51311000000002e+21,"Consumer Loan",23,41544.78,41544.78,41544.78,0.35,0.45,0.032,4
"154","<= 100",17250706,6.51166000000002e+21,"Consumer Loan",50,23218.46,23218.46,23218.46,0.35,0.45,0.032,4
"155","<= 100",17250706,6.51166000000002e+21,"Consumer Loan",50,10171.39,10171.39,10171.39,0.35,0.45,0.032,4
"156","<= 100",17253829,6.50067000000002e+21,"Consumer Loan",23,948175.1,948175.1,948175.1,0.35,0.45,0.032,4
"157","<= 100",17256291,6.51353000000002e+21,"Consumer Loan",50,21841.96,21841.96,21841.96,0.35,0.45,0.032,4
"158","<= 100",17262429,6.50156000000002e+21,"Consumer Loan",30,26604.7,26604.7,26604.7,0.35,0.45,0.032,4
"159","<= 100",17269253,6.51278e+21,"Consumer Loan",23,66021.64,69362.22,69362.22,0.35,0.45,0.032,4
"160","<= 100",17282255,6.51387000000002e+21,"Consumer Loan",30,4263.29,4263.29,4263.29,0.35,0.45,0.032,4
"161","<= 100",17286336,6.51527e+21,"Consumer Loan",50,41851.44,41851.44,41851.44,0.35,0.45,0.032,4
"162","<= 100",17286336,6.51527000015271e+21,"Lease",30,4966.66,4966.66,4966.66,0.35,0.45,0.032,4
"163","<= 100",17289199,6.51521000000002e+21,"Consumer Loan",23,614030.38,614030.38,614030.38,0.35,0.45,0.032,4
"164","<= 100",17296072,6.50024000000002e+21,"Consumer Loan",20,56407.25,56407.25,56407.25,0.35,0.45,0.032,4
"165","<= 100",17300819,6.51242000012421e+21,"Lease",23,370550.16,370550.16,370550.16,0.35,0.45,0.032,4
"166","<= 100",17302161,6.51242000000002e+21,"Consumer Loan",30,50307.84,50307.84,50307.84,0.35,0.45,0.032,4
"167","<= 100",17364377,6.51353000000002e+21,"Consumer Loan",30,8230.27,8230.27,8230.27,0.35,0.45,0.032,4
"169","<= 100",17373638,6.51371000013711e+21,"Lease",30,38769.69,38769.69,38769.69,0.35,0.45,0.032,4
"170","<= 100",17377641,6.50180000001801e+21,"Lease",30,49726.09,49726.09,49726.09,0.35,0.45,0.032,4
"171","<= 100",17384192,6.51102000000002e+21,"Consumer Loan",50,8611.15,8611.15,8611.15,0.35,0.45,0.032,4
"172","<= 100",17393884,6.51187000000002e+21,"Consumer Loan",30,44645.81,44645.81,44645.81,0.35,0.45,0.032,4
"173","<= 100",17393884,6.51187000011871e+21,"Lease",30,15556.18,15556.18,15556.18,0.35,0.45,0.032,4
"174","<= 100",17404460,6.50134e+21,"Consumer Loan",30,2441576.94,2441576.94,2441576.94,0.35,0.45,0.032,4
"175","<= 100",17416396,6.50020000000002e+21,"Consumer Loan",23,31088.27,31088.27,31088.27,0.35,0.45,0.032,4
"176","<= 100",17436303,6.51125000011251e+21,"Lease",30,4090.73,4090.73,4090.73,0.35,0.45,0.032,4
"178","<= 100",17482644,6.51028000000006e+21,"Mortgage",20,1080578.35,1080578.35,1080578.35,0.35,0.45,0.032,4
"179","<= 100",17486068,6.51535000000002e+21,"Consumer Loan",20,6378.14,6378.14,6378.14,0.35,0.45,0.032,4
"180","<= 100",17488184,6.50067000000002e+21,"Consumer Loan",23,186443.63,186443.63,186443.63,0.35,0.45,0.032,4
"181","<= 100",17507022,6.51107000000002e+21,"Consumer Loan",30,87737.52,87737.52,87737.52,0.35,0.45,0.032,4
"182","<= 100",17513839,6.51164000000002e+21,"Consumer Loan",23,55291.29,55291.29,55291.29,0.35,0.45,0.032,4
"183","<= 100",17548780,6.50312000000006e+21,"Mortgage",23,106873.09,106873.09,106873.09,0.35,0.45,0.032,4
"184","<= 100",17548780,6.50312000003121e+21,"Lease",23,51815.2,51815.2,51815.2,0.35,0.45,0.032,4
"185","<= 100",17548780,6.50312000003121e+21,"Lease",23,136183.62,136183.62,136183.62,0.35,0.45,0.032,4
"186","<= 100",17548780,6.50312000003121e+21,"Lease",23,140468.29,140468.29,140468.29,0.35,0.45,0.032,4
"187","<= 100",17548780,6.50312000003121e+21,"Lease",23,83549.96,83549.96,83549.96,0.35,0.45,0.032,4
"188","<= 100",17549388,6.50312000000002e+21,"Consumer Loan",30,57311.03,57311.03,57311.03,0.35,0.45,0.032,4
"189","<= 100",17549388,6.50312000003121e+21,"Lease",30,55192.74,55192.74,55192.74,0.35,0.45,0.032,4
"190","<= 100",17550424,6.50030000000006e+21,"Mortgage",30,1590347.89,1590347.89,1590347.89,0.35,0.45,0.032,4
"191","<= 100",17552095,6.50312000000002e+21,"Consumer Loan",30,15306.23,15306.23,15306.23,0.35,0.45,0.032,4
"192","<= 100",17572894,6.50028000000002e+21,"Consumer Loan",30,18346.26,18346.26,18346.26,0.35,0.45,0.032,4
"193","<= 100",17579171,6.50061000000002e+21,"Consumer Loan",30,535290.76,535290.76,535290.76,0.35,0.45,0.032,4
"194","<= 100",17592046,6.51083000000006e+21,"Mortgage",30,116730.47,116730.47,116730.47,0.35,0.45,0.032,4
"195","<= 100",17605423,6.50034000000002e+21,"Consumer Loan",30,7923.2,7923.2,7923.2,0.35,0.45,0.032,4
"196","<= 100",17610559,6.51351000000006e+21,"Mortgage",23,208114.51,208114.51,208114.51,0.35,0.45,0.032,4
"197","<= 100",17623030,6.51291000012911e+21,"Lease",23,279869.77,279869.77,279869.77,0.35,0.45,0.032,4
"198","<= 100",17627303,6.50032000000002e+21,"Consumer Loan",30,26504.16,26504.16,26504.16,0.35,0.45,0.032,4
"199","<= 100",17629233,6.51205000012051e+21,"Lease",30,11477.8,11477.8,11477.8,0.35,0.45,0.032,4
"200","<= 100",17629233,6.51205000012051e+21,"Lease",30,11622.63,11622.63,11622.63,0.35,0.45,0.032,4
"201","<= 100",17630053,6.50032e+21,"Consumer Loan",23,2798731.74,2801233.62,2801233.62,0.35,0.45,0.032,4
"203","<= 100",17658241,6.51118000000002e+21,"Consumer Loan",50,25264.11,25264.11,25264.11,0.35,0.45,0.032,4
"204","<= 100",17658241,6.51118000000002e+21,"Consumer Loan",50,84812.74,84812.74,84812.74,0.35,0.45,0.032,4
"205","<= 100",17658969,6.51350000000006e+21,"Mortgage",30,426458.76,426458.76,426458.76,0.35,0.45,0.032,4
"206","<= 100",17665256,6.50068000000002e+21,"Consumer Loan",30,121965.28,121965.28,121965.28,0.35,0.45,0.032,4
"207","<= 100",17665256,6.50068000000681e+21,"Lease",30,62031.83,62031.83,62031.83,0.35,0.45,0.032,4
"208","<= 100",17719437,6.51020000000002e+21,"Consumer Loan",30,5543.6,5543.6,5543.6,0.35,0.45,0.032,4
"209","<= 100",17719437,6.51020000000006e+21,"Mortgage",20,368337.59,368337.59,368337.59,0.35,0.45,0.032,4
"210","<= 100",17723892,6.50157000001571e+21,"Lease",30,336550.5,336550.5,336550.5,0.35,0.45,0.032,4
"211","<= 100",17771773,6.51353000000002e+21,"Consumer Loan",30,7543.41,7543.41,7543.41,0.35,0.45,0.032,4
"212","<= 100",17776465,6.50037000000006e+21,"Mortgage",20,456588.75,456588.75,456588.75,0.35,0.45,0.032,4
"213","<= 100",17776465,6.50037000000371e+21,"Lease",20,7311.03,7311.03,7311.03,0.35,0.45,0.032,4
"214","<= 100",17776465,6.50037000000371e+21,"Lease",20,6979.66,6979.66,6979.66,0.35,0.45,0.032,4
"215","<= 100",17776465,6.50037000000371e+21,"Lease",20,7311.03,7311.03,7311.03,0.35,0.45,0.032,4
"216","<= 100",17776465,6.50037000000371e+21,"Lease",20,12572.2,12572.2,12572.2,0.35,0.45,0.032,4
"217","<= 100",17776465,6.50037000000371e+21,"Lease",20,12572.2,12572.2,12572.2,0.35,0.45,0.032,4
"218","<= 100",17776465,6.50037000000371e+21,"Lease",23,6872.33,6872.33,6872.33,0.35,0.45,0.032,4
"219","<= 100",17776465,6.50037000000371e+21,"Lease",20,11341.8,11341.8,11341.8,0.35,0.45,0.032,4
"220","<= 100",17776465,6.50037000000371e+21,"Lease",20,4948.04,4948.04,4948.04,0.35,0.45,0.032,4
"221","<= 100",17776465,6.50037000000371e+21,"Lease",20,9369.75,9369.75,9369.75,0.35,0.45,0.032,4
"222","<= 100",17776465,6.50037000000371e+21,"Lease",20,6865.17,6865.17,6865.17,0.35,0.45,0.032,4
"223","<= 100",17776465,6.50037000000371e+21,"Lease",20,5190.32,5190.32,5190.32,0.35,0.45,0.032,4
"224","<= 100",17776465,6.50037000000371e+21,"Lease",23,12178.72,12178.72,12178.72,0.35,0.45,0.032,4
"225","<= 100",17776465,6.50037000000371e+21,"Lease",20,9628.62,9628.62,9628.62,0.35,0.45,0.032,4
"226","<= 100",17776465,6.50037000000371e+21,"Lease",20,42838.45,42838.45,42838.45,0.35,0.45,0.032,4
"227","<= 100",17776465,6.50037000000371e+21,"Lease",23,33238.51,33238.51,33238.51,0.35,0.45,0.032,4
"228","<= 100",17776465,6.50037000000371e+21,"Lease",20,1831.28,1831.28,1831.28,0.35,0.45,0.032,4
"229","<= 100",17776465,6.50037000000371e+21,"Lease",20,1044.09,1044.09,1044.09,0.35,0.45,0.032,4
"230","<= 100",17813042,6.51283000012831e+21,"Lease",23,309728.92,309728.92,309728.92,0.35,0.45,0.032,4
"231","<= 100",17821878,6.51615000000002e+21,"Consumer Loan",30,73068.41,73068.41,73068.41,0.35,0.45,0.032,4
"232","<= 100",17822533,6.50067000000006e+21,"Mortgage",23,2242603.52,2242603.52,2242603.52,0.35,0.45,0.032,4
"233","<= 100",17837200,6.50039000000006e+21,"Mortgage",23,41954.59,41954.59,41954.59,0.35,0.45,0.032,4
"234","<= 100",17840678,6.50102e+21,"Consumer Loan",30,31510.16,31510.16,31510.16,0.35,0.45,0.032,4
"235","<= 100",17840678,6.50102000000006e+21,"Mortgage",30,68184.41,68184.41,68184.41,0.35,0.45,0.032,4
"236","<= 100",17846129,6.51253000000002e+21,"Consumer Loan",40,134944.55,134944.55,134944.55,0.35,0.45,0.032,4
"237","<= 100",17865417,6.51630000000002e+21,"Consumer Loan",30,212798.81,212798.81,212798.81,0.35,0.45,0.032,4
